index,GHO (CODE),GHO (DISPLAY),GHO (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),COUNTRY (CODE),STARTYEAR,ENDYEAR,COUNTRY (DISPLAY),COUNTRY (URL),AGEGROUP (CODE),AGEGROUP (DISPLAY),AGEGROUP (URL),SEX (CODE),SEX (DISPLAY),SEX (URL),GHECAUSES (CODE),GHECAUSES (DISPLAY),GHECAUSES (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
2779,NCD_GLUC_04,Raised fasting blood glucose (>=7.0 mmol/L or on medication)(age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2379,PUBLISHED,Published,,2007.0,2007,,EUR,Europe,,TUR,2007,2007,Turkey,,YEARS18-PLUS,18+  years,,MLE,Male,,,,,10.8 [8.5-13.5],10.80000,8.5,13.5,,,
2780,NCD_GLUC_04,Raised fasting blood glucose (>=7.0 mmol/L or on medication)(age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2379,PUBLISHED,Published,,2012.0,2012,,EUR,Europe,,TUR,2012,2012,Turkey,,YEARS18-PLUS,18+  years,,MLE,Male,,,,,12.4 [8.9-16.5],12.40000,8.9,16.5,,,
2781,NCD_GLUC_04,Raised fasting blood glucose (>=7.0 mmol/L or on medication)(age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2379,PUBLISHED,Published,,2014.0,2014,,EUR,Europe,,TUR,2014,2014,Turkey,,YEARS18-PLUS,18+  years,,MLE,Male,,,,,13.0 [8.7-18.5],13.00000,8.7,18.5,,,
2782,NCD_GLUC_04,Raised fasting blood glucose (>=7.0 mmol/L or on medication)(age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2379,PUBLISHED,Published,,1981.0,1981,,EUR,Europe,,TUR,1981,1981,Turkey,,YEARS18-PLUS,18+  years,,FMLE,Female,,,,,6.1 [2.5-11.9],6.10000,2.5,11.9,,,
2783,NCD_GLUC_04,Raised fasting blood glucose (>=7.0 mmol/L or on medication)(age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2379,PUBLISHED,Published,,1988.0,1988,,EUR,Europe,,TUR,1988,1988,Turkey,,YEARS18-PLUS,18+  years,,FMLE,Female,,,,,7.5 [4.5-11.1],7.50000,4.5,11.1,,,
2784,NCD_GLUC_04,Raised fasting blood glucose (>=7.0 mmol/L or on medication)(age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2379,PUBLISHED,Published,,1990.0,1990,,EUR,Europe,,TUR,1990,1990,Turkey,,YEARS18-PLUS,18+  years,,FMLE,Female,,,,,7.9 [5.0-11.2],7.90000,5.0,11.2,,,
2785,NCD_GLUC_04,Raised fasting blood glucose (>=7.0 mmol/L or on medication)(age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2379,PUBLISHED,Published,,1995.0,1995,,EUR,Europe,,TUR,1995,1995,Turkey,,YEARS18-PLUS,18+  years,,FMLE,Female,,,,,8.9 [6.2-11.7],8.90000,6.2,11.7,,,
2786,NCD_GLUC_04,Raised fasting blood glucose (>=7.0 mmol/L or on medication)(age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2379,PUBLISHED,Published,,1997.0,1997,,EUR,Europe,,TUR,1997,1997,Turkey,,YEARS18-PLUS,18+  years,,FMLE,Female,,,,,9.3 [6.7-12.0],9.30000,6.7,12.0,,,
2787,NCD_GLUC_04,Raised fasting blood glucose (>=7.0 mmol/L or on medication)(age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2379,PUBLISHED,Published,,2004.0,2004,,EUR,Europe,,TUR,2004,2004,Turkey,,YEARS18-PLUS,18+  years,,FMLE,Female,,,,,11.1 [8.7-13.7],11.10000,8.7,13.7,,,
2788,NCD_GLUC_04,Raised fasting blood glucose (>=7.0 mmol/L or on medication)(age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2379,PUBLISHED,Published,,2006.0,2006,,EUR,Europe,,TUR,2006,2006,Turkey,,YEARS18-PLUS,18+  years,,FMLE,Female,,,,,11.8 [9.2-14.3],11.80000,9.2,14.3,,,
2789,NCD_GLUC_04,Raised fasting blood glucose (>=7.0 mmol/L or on medication)(age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2379,PUBLISHED,Published,,2013.0,2013,,EUR,Europe,,TUR,2013,2013,Turkey,,YEARS18-PLUS,18+  years,,FMLE,Female,,,,,13.9 [9.7-18.7],13.90000,9.7,18.7,,,
2790,NCD_GLUC_03,Raised fasting blood glucose (>= 7.0 mmol/L or on medication) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2379,PUBLISHED,Published,,1982.0,1982,,EUR,Europe,,TUR,1982,1982,Turkey,,YEARS18-PLUS,18+  years,,BTSX,Both sexes,,,,,4.4 [2.4-7.4],4.40000,2.4,7.4,,,
2791,NCD_GLUC_03,Raised fasting blood glucose (>= 7.0 mmol/L or on medication) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2379,PUBLISHED,Published,,1983.0,1983,,EUR,Europe,,TUR,1983,1983,Turkey,,YEARS18-PLUS,18+  years,,BTSX,Both sexes,,,,,4.6 [2.6-7.3],4.60000,2.6,7.3,,,
2792,NCD_GLUC_04,Raised fasting blood glucose (>=7.0 mmol/L or on medication)(age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2379,PUBLISHED,Published,,1985.0,1985,,EUR,Europe,,TUR,1985,1985,Turkey,,YEARS18-PLUS,18+  years,,BTSX,Both sexes,,,,,6.0 [3.8-8.9],6.00000,3.8,8.9,,,
2793,NCD_GLUC_04,Raised fasting blood glucose (>=7.0 mmol/L or on medication)(age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2379,PUBLISHED,Published,,1986.0,1986,,EUR,Europe,,TUR,1986,1986,Turkey,,YEARS18-PLUS,18+  years,,BTSX,Both sexes,,,,,6.3 [4.1-8.9],6.30000,4.1,8.9,,,
2794,NCD_GLUC_03,Raised fasting blood glucose (>= 7.0 mmol/L or on medication) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2379,PUBLISHED,Published,,1989.0,1989,,EUR,Europe,,TUR,1989,1989,Turkey,,YEARS18-PLUS,18+  years,,BTSX,Both sexes,,,,,5.7 [4.0-7.6],5.70000,4.0,7.6,,,
2795,NCD_GLUC_03,Raised fasting blood glucose (>= 7.0 mmol/L or on medication) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2379,PUBLISHED,Published,,1990.0,1990,,EUR,Europe,,TUR,1990,1990,Turkey,,YEARS18-PLUS,18+  years,,BTSX,Both sexes,,,,,5.9 [4.2-7.7],5.90000,4.2,7.7,,,
2796,NCD_GLUC_04,Raised fasting blood glucose (>=7.0 mmol/L or on medication)(age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2379,PUBLISHED,Published,,1992.0,1992,,EUR,Europe,,TUR,1992,1992,Turkey,,YEARS18-PLUS,18+  years,,BTSX,Both sexes,,,,,7.5 [5.7-9.6],7.50000,5.7,9.6,,,
2797,NCD_GLUC_04,Raised fasting blood glucose (>=7.0 mmol/L or on medication)(age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2379,PUBLISHED,Published,,1993.0,1993,,EUR,Europe,,TUR,1993,1993,Turkey,,YEARS18-PLUS,18+  years,,BTSX,Both sexes,,,,,7.7 [5.9-9.7],7.70000,5.9,9.7,,,
2798,NCD_GLUC_03,Raised fasting blood glucose (>= 7.0 mmol/L or on medication) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2379,PUBLISHED,Published,,1996.0,1996,,EUR,Europe,,TUR,1996,1996,Turkey,,YEARS18-PLUS,18+  years,,BTSX,Both sexes,,,,,7.0 [5.5-8.6],7.00000,5.5,8.6,,,
2799,NCD_GLUC_03,Raised fasting blood glucose (>= 7.0 mmol/L or on medication) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2379,PUBLISHED,Published,,1997.0,1997,,EUR,Europe,,TUR,1997,1997,Turkey,,YEARS18-PLUS,18+  years,,BTSX,Both sexes,,,,,7.2 [5.7-8.8],7.20000,5.7,8.8,,,
2800,NCD_GLUC_04,Raised fasting blood glucose (>=7.0 mmol/L or on medication)(age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2379,PUBLISHED,Published,,1999.0,1999,,EUR,Europe,,TUR,1999,1999,Turkey,,YEARS18-PLUS,18+  years,,BTSX,Both sexes,,,,,9.0 [7.3-10.9],9.00000,7.3,10.9,,,
2801,NCD_GLUC_04,Raised fasting blood glucose (>=7.0 mmol/L or on medication)(age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2379,PUBLISHED,Published,,2000.0,2000,,EUR,Europe,,TUR,2000,2000,Turkey,,YEARS18-PLUS,18+  years,,BTSX,Both sexes,,,,,9.3 [7.6-11.2],9.30000,7.6,11.2,,,
2802,NCD_GLUC_03,Raised fasting blood glucose (>= 7.0 mmol/L or on medication) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2379,PUBLISHED,Published,,2003.0,2003,,EUR,Europe,,TUR,2003,2003,Turkey,,YEARS18-PLUS,18+  years,,BTSX,Both sexes,,,,,8.9 [7.4-10.5],8.90000,7.4,10.5,,,
2803,NCD_GLUC_03,Raised fasting blood glucose (>= 7.0 mmol/L or on medication) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2379,PUBLISHED,Published,,2004.0,2004,,EUR,Europe,,TUR,2004,2004,Turkey,,YEARS18-PLUS,18+  years,,BTSX,Both sexes,,,,,9.3 [7.8-10.8],9.30000,7.8,10.8,,,
2804,NCD_GLUC_04,Raised fasting blood glucose (>=7.0 mmol/L or on medication)(age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2379,PUBLISHED,Published,,2006.0,2006,,EUR,Europe,,TUR,2006,2006,Turkey,,YEARS18-PLUS,18+  years,,BTSX,Both sexes,,,,,11.2 [9.4-13.0],11.20000,9.4,13.0,,,
2805,NCD_GLUC_04,Raised fasting blood glucose (>=7.0 mmol/L or on medication)(age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2379,PUBLISHED,Published,,2007.0,2007,,EUR,Europe,,TUR,2007,2007,Turkey,,YEARS18-PLUS,18+  years,,BTSX,Both sexes,,,,,11.5 [9.7-13.3],11.50000,9.7,13.3,,,
2806,NCD_GLUC_03,Raised fasting blood glucose (>= 7.0 mmol/L or on medication) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2379,PUBLISHED,Published,,2010.0,2010,,EUR,Europe,,TUR,2010,2010,Turkey,,YEARS18-PLUS,18+  years,,BTSX,Both sexes,,,,,11.6 [9.6-13.7],11.60000,9.6,13.7,,,
2807,NCD_GLUC_03,Raised fasting blood glucose (>= 7.0 mmol/L or on medication) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2379,PUBLISHED,Published,,2011.0,2011,,EUR,Europe,,TUR,2011,2011,Turkey,,YEARS18-PLUS,18+  years,,BTSX,Both sexes,,,,,12.0 [9.8-14.4],12.00000,9.8,14.4,,,
2808,NCD_GLUC_04,Raised fasting blood glucose (>=7.0 mmol/L or on medication)(age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2379,PUBLISHED,Published,,2013.0,2013,,EUR,Europe,,TUR,2013,2013,Turkey,,YEARS18-PLUS,18+  years,,BTSX,Both sexes,,,,,13.3 [10.5-16.6],13.30000,10.5,16.6,,,
2809,NCD_GLUC_04,Raised fasting blood glucose (>=7.0 mmol/L or on medication)(age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2379,PUBLISHED,Published,,2014.0,2014,,EUR,Europe,,TUR,2014,2014,Turkey,,YEARS18-PLUS,18+  years,,BTSX,Both sexes,,,,,13.6 [10.5-17.4],13.60000,10.5,17.4,,,
2810,NCDMORT3070,"Probability (%) of dying between age 30 and exact age 70 from any of cardiovascular disease, cancer, diabetes, or chronic respiratory disease",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3354,PUBLISHED,Published,,2000.0,2000,,EUR,Europe,,TUR,2000,2000,Turkey,,,,,MLE,Male,,,,,28.6,28.60000,,,,,"Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
2811,NCDMORT3070,"Probability (%) of dying between age 30 and exact age 70 from any of cardiovascular disease, cancer, diabetes, or chronic respiratory disease",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3354,PUBLISHED,Published,,2005.0,2005,,EUR,Europe,,TUR,2005,2005,Turkey,,,,,FMLE,Female,,,,,14.0,14.00000,,,,,"Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
2812,NCDMORT3070,"Probability (%) of dying between age 30 and exact age 70 from any of cardiovascular disease, cancer, diabetes, or chronic respiratory disease",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3354,PUBLISHED,Published,,2010.0,2010,,EUR,Europe,,TUR,2010,2010,Turkey,,,,,BTSX,Both sexes,,,,,18.2,18.20000,,,,,"Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
2813,NCDMORT3070,"Probability (%) of dying between age 30 and exact age 70 from any of cardiovascular disease, cancer, diabetes, or chronic respiratory disease",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3354,PUBLISHED,Published,,2015.0,2015,,EUR,Europe,,TUR,2015,2015,Turkey,,,,,MLE,Male,,,,,21.8,21.80000,,,,,"Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
2814,NCD_UNDER70,NCD deaths under age 70 (percent of all NCD deaths),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4731,PUBLISHED,Published,,2000.0,2000,,EUR,Europe,,TUR,2000,2000,Turkey,,,,,MLE,Male,,,,,57,57.31414,,,,,
2815,NCD_UNDER70,NCD deaths under age 70 (percent of all NCD deaths),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4731,PUBLISHED,Published,,2015.0,2015,,EUR,Europe,,TUR,2015,2015,Turkey,,,,,FMLE,Female,,,,,32,32.27689,,,,,
2816,NCD_UNDER70,NCD deaths under age 70 (percent of all NCD deaths),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4731,PUBLISHED,Published,,2016.0,2016,,EUR,Europe,,TUR,2016,2016,Turkey,,,,,MLE,Male,,,,,43,43.14087,,,,,
2817,NCD_DTH_TOT,Total NCD Deaths (in thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/36,PUBLISHED,Published,,2000.0,2000,,EUR,Europe,,TUR,2000,2000,Turkey,,,,,FMLE,Female,,GHE060,Noncommunicable diseases,,145.6,145.57880,,,,,
2818,NCD_DTH_TOT,Total NCD Deaths (in thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/36,PUBLISHED,Published,,2000.0,2000,,EUR,Europe,,TUR,2000,2000,Turkey,,,,,MLE,Male,,GHE060,Noncommunicable diseases,,173.2,173.18500,,,,,
2819,NCD_DTH_TOT,Total NCD Deaths (in thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/36,PUBLISHED,Published,,2015.0,2015,,EUR,Europe,,TUR,2015,2015,Turkey,,,,,FMLE,Female,,GHE060,Noncommunicable diseases,,183.3,183.34320,,,,,
2820,NCD_DTH_TOT,Total NCD Deaths (in thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/36,PUBLISHED,Published,,2000.0,2000,,EUR,Europe,,TUR,2000,2000,Turkey,,,,,BTSX,Both sexes,,GHE060,Noncommunicable diseases,,318.8,318.76380,,,,,
2821,NCD_PAA,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2381,PUBLISHED,Published,,2016.0,2016,,EUR,Europe,,TUR,2016,2016,Turkey,,YEARS18-PLUS,18+  years,,BTSX,Both sexes,,,,,30.6 [23.3-38.8],30.55708,23.32674,38.77785,,,
2822,NCD_PAC,Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2381,PUBLISHED,Published,,2016.0,2016,,EUR,Europe,,TUR,2016,2016,Turkey,,YEARS18-PLUS,18+  years,,BTSX,Both sexes,,,,,30.6 [23.4-38.8],30.61668,23.39197,38.82463,,,
2823,NCD_PAC_ADO,Prevalence of insufficient physical activity among school going adolescents aged 11-17 (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4482,PUBLISHED,Published,,2001.0,2001,,EUR,Europe,,TUR,2001,2001,Turkey,,YEARS11-17,11-17 years,,BTSX,Both sexes,,,,,82.3 [79.3-84.9],82.26576,79.2915,84.8943,,,
2824,NCD_PAC_ADO,Prevalence of insufficient physical activity among school going adolescents aged 11-17 (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4482,PUBLISHED,Published,,2003.0,2003,,EUR,Europe,,TUR,2003,2003,Turkey,,YEARS11-17,11-17 years,,BTSX,Both sexes,,,,,82.1 [79.2-84.7],82.13968,79.23708,84.715,,,
2825,NCD_PAC_ADO,Prevalence of insufficient physical activity among school going adolescents aged 11-17 (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4482,PUBLISHED,Published,,2008.0,2008,,EUR,Europe,,TUR,2008,2008,Turkey,,YEARS11-17,11-17 years,,BTSX,Both sexes,,,,,81.8 [79.0-84.3],81.81541,79.00139,84.32783,,,
2826,NCD_PAC_ADO,Prevalence of insufficient physical activity among school going adolescents aged 11-17 (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4482,PUBLISHED,Published,,2010.0,2010,,EUR,Europe,,TUR,2010,2010,Turkey,,YEARS11-17,11-17 years,,BTSX,Both sexes,,,,,81.7 [78.9-84.2],81.68266,78.86473,84.20112,,,
2827,NCD_PAC_ADO,Prevalence of insufficient physical activity among school going adolescents aged 11-17 (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4482,PUBLISHED,Published,,2001.0,2001,,EUR,Europe,,TUR,2001,2001,Turkey,,YEARS11-17,11-17 years,,FMLE,Female,,,,,85.9 [83.3-88.2],85.94357,83.3263,88.20816,,,
2828,NCD_PAC_ADO,Prevalence of insufficient physical activity among school going adolescents aged 11-17 (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4482,PUBLISHED,Published,,2003.0,2003,,EUR,Europe,,TUR,2003,2003,Turkey,,YEARS11-17,11-17 years,,FMLE,Female,,,,,86.0 [83.4-88.2],85.96863,83.4309,88.17278,,,
2829,NCD_PAC_ADO,Prevalence of insufficient physical activity among school going adolescents aged 11-17 (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4482,PUBLISHED,Published,,2010.0,2010,,EUR,Europe,,TUR,2010,2010,Turkey,,YEARS11-17,11-17 years,,FMLE,Female,,,,,86.1 [83.6-88.1],86.05029,83.64771,88.14987,,,
2830,NCD_PAC_ADO,Prevalence of insufficient physical activity among school going adolescents aged 11-17 (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4482,PUBLISHED,Published,,2012.0,2012,,EUR,Europe,,TUR,2012,2012,Turkey,,YEARS11-17,11-17 years,,FMLE,Female,,,,,86.1 [83.7-88.2],86.07059,83.66317,88.17339,,,
2831,NCD_PAC_ADO,Prevalence of insufficient physical activity among school going adolescents aged 11-17 (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4482,PUBLISHED,Published,,2001.0,2001,,EUR,Europe,,TUR,2001,2001,Turkey,,YEARS11-17,11-17 years,,MLE,Male,,,,,78.7 [75.3-81.6],78.66296,75.339,81.64803,,,
2832,NCD_PAC_ADO,Prevalence of insufficient physical activity among school going adolescents aged 11-17 (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4482,PUBLISHED,Published,,2003.0,2003,,EUR,Europe,,TUR,2003,2003,Turkey,,YEARS11-17,11-17 years,,MLE,Male,,,,,78.4 [75.1-81.3],78.39861,75.13951,81.33658,,,
2833,NCD_PAC_ADO,Prevalence of insufficient physical activity among school going adolescents aged 11-17 (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4482,PUBLISHED,Published,,2010.0,2010,,EUR,Europe,,TUR,2010,2010,Turkey,,YEARS11-17,11-17 years,,MLE,Male,,,,,77.5 [74.2-80.4],77.45721,74.23746,80.38091,,,
2834,NCD_PAC_ADO,Prevalence of insufficient physical activity among school going adolescents aged 11-17 (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4482,PUBLISHED,Published,,2012.0,2012,,EUR,Europe,,TUR,2012,2012,Turkey,,YEARS11-17,11-17 years,,MLE,Male,,,,,77.2 [73.9-80.2],77.18423,73.91643,80.15257,,,
2835,NCD_GLUC_01,Mean fasting blood glucose (mmol/l) (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2380,PUBLISHED,Published,,1985.0,1985,,EUR,Europe,,TUR,1985,1985,Turkey,,,,,MLE,Male,,,,,4.80 [4.20-5.36],4.79634,4.20499,5.36013,,,
2836,NCD_GLUC_01,Mean fasting blood glucose (mmol/l) (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2380,PUBLISHED,Published,,1987.0,1987,,EUR,Europe,,TUR,1987,1987,Turkey,,,,,MLE,Male,,,,,4.86 [4.39-5.32],4.86272,4.38846,5.32031,,,
2837,NCD_GLUC_01,Mean fasting blood glucose (mmol/l) (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2380,PUBLISHED,Published,,1994.0,1994,,EUR,Europe,,TUR,1994,1994,Turkey,,,,,MLE,Male,,,,,5.06 [4.81-5.32],5.06170,4.80705,5.31751,,,
2838,NCD_GLUC_01,Mean fasting blood glucose (mmol/l) (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2380,PUBLISHED,Published,,1996.0,1996,,EUR,Europe,,TUR,1996,1996,Turkey,,,,,MLE,Male,,,,,5.11 [4.88-5.34],5.11258,4.8793,5.3394,,,
2839,NCD_GLUC_01,Mean fasting blood glucose (mmol/l) (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2380,PUBLISHED,Published,,2001.0,2001,,EUR,Europe,,TUR,2001,2001,Turkey,,,,,MLE,Male,,,,,5.24 [5.04-5.43],5.23556,5.04264,5.43155,,,
2840,NCD_GLUC_01,Mean fasting blood glucose (mmol/l) (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2380,PUBLISHED,Published,,2003.0,2003,,EUR,Europe,,TUR,2003,2003,Turkey,,,,,MLE,Male,,,,,5.28 [5.07-5.48],5.27551,5.07002,5.48325,,,
2841,NCD_GLUC_01,Mean fasting blood glucose (mmol/l) (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2380,PUBLISHED,Published,,2010.0,2010,,EUR,Europe,,TUR,2010,2010,Turkey,,,,,MLE,Male,,,,,5.38 [5.08-5.69],5.37877,5.07787,5.6899,,,
2842,NCD_GLUC_01,Mean fasting blood glucose (mmol/l) (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2380,PUBLISHED,Published,,2012.0,2012,,EUR,Europe,,TUR,2012,2012,Turkey,,,,,MLE,Male,,,,,5.39 [5.02-5.77],5.39370,5.01964,5.77356,,,
2843,NCD_GLUC_01,Mean fasting blood glucose (mmol/l) (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2380,PUBLISHED,Published,,2014.0,2014,,EUR,Europe,,TUR,2014,2014,Turkey,,,,,FMLE,Female,,,,,5.33 [4.86-5.79],5.33110,4.85536,5.78678,,,
2844,NCD_GLUC_01,Mean fasting blood glucose (mmol/l) (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2380,PUBLISHED,Published,,2007.0,2007,,EUR,Europe,,TUR,2007,2007,Turkey,,,,,FMLE,Female,,,,,5.33 [5.08-5.58],5.33302,5.07728,5.58472,,,
2845,NCD_GLUC_01,Mean fasting blood glucose (mmol/l) (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2380,PUBLISHED,Published,,2005.0,2005,,EUR,Europe,,TUR,2005,2005,Turkey,,,,,FMLE,Female,,,,,5.32 [5.09-5.55],5.32254,5.09136,5.55098,,,
2846,NCD_GLUC_01,Mean fasting blood glucose (mmol/l) (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2380,PUBLISHED,Published,,2000.0,2000,,EUR,Europe,,TUR,2000,2000,Turkey,,,,,FMLE,Female,,,,,5.26 [5.08-5.44],5.25766,5.07542,5.43883,,,
2847,NCD_GLUC_01,Mean fasting blood glucose (mmol/l) (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2380,PUBLISHED,Published,,1998.0,1998,,EUR,Europe,,TUR,1998,1998,Turkey,,,,,FMLE,Female,,,,,5.20 [5.00-5.40],5.20208,4.99588,5.39934,,,
2848,NCD_GLUC_01,Mean fasting blood glucose (mmol/l) (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2380,PUBLISHED,Published,,1991.0,1991,,EUR,Europe,,TUR,1991,1991,Turkey,,,,,FMLE,Female,,,,,4.94 [4.63-5.26],4.94450,4.63471,5.2553,,,
2849,NCD_GLUC_01,Mean fasting blood glucose (mmol/l) (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2380,PUBLISHED,Published,,1989.0,1989,,EUR,Europe,,TUR,1989,1989,Turkey,,,,,FMLE,Female,,,,,4.87 [4.49-5.25],4.87195,4.49335,5.25218,,,
2850,NCD_GLUC_01,Mean fasting blood glucose (mmol/l) (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2380,PUBLISHED,Published,,1982.0,1982,,EUR,Europe,,TUR,1982,1982,Turkey,,,,,FMLE,Female,,,,,4.64 [3.68-5.64],4.63761,3.67614,5.63987,,,
2851,NCD_GLUC_01,Mean fasting blood glucose (mmol/l) (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2380,PUBLISHED,Published,,1980.0,1980,,EUR,Europe,,TUR,1980,1980,Turkey,,,,,FMLE,Female,,,,,4.58 [3.38-5.83],4.58437,3.37794,5.83225,,,
2852,NCD_BMI_PLUS2C,"Prevalence of obesity among children and adolescents, BMI > +2 standard deviations above the median (crude estimate) (%)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4807,PUBLISHED,Published,,2012.0,2012,,EUR,Europe,,TUR,2012,2012,Turkey,,YEARS05-09,5-9 years,,FMLE,Female,,,,,12.1 [4.1-23.8],12.10000,4.1,23.8,,,
2853,NCD_BMI_PLUS2C,"Prevalence of obesity among children and adolescents, BMI > +2 standard deviations above the median (crude estimate) (%)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4807,PUBLISHED,Published,,1976.0,1976,,EUR,Europe,,TUR,1976,1976,Turkey,,YEARS10-19,10-19 years,,FMLE,Female,,,,,0.4 [0.0-1.8],0.40000,0.0,1.8,,,
